AGI,Description,table.logConc,table.logFC,table.PValue,table.FDR,found in ATH1,Kozuka_2010_leaf_blade,Kozuka_2010_petiole
AT1G03870,"fasciclin-like arabinogalactan-protein 9 (Fla9)FASCICLIN-like arabinoogalactan 9 (FLA9); LOCATED IN: anchored to plasma membrane, plasma membrane, anchored to membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: FAS1 domain (InterPro:IPR000782); BEST Arabidopsis thaliana protein match is: FASCICLIN-like arabinogalactan protein 13 precursor (TAIR:AT5G44130.1); Has 1005 Blast hits to 985 proteins in 182 species: Archae - 18; Bacteria - 304; Metazoa - 15; Fungi - 9; Plants - 624; Viruses - 0; Other Eukaryotes - 35 (source: NCBI BLink).",13.86,1.23,1.70988E-08,5.47113E-06,265066_at,#N/A,#N/A
AT4G39800,"** Referred to as MIPS2 in Mitsuhashi et al 2008. myo-inositol-1-phosphate synthase isoform 1.Expressed in leaf, root and silique. Immunolocalization experiments with an antibody recognizing MIPS1, MIPS2, and MIPS3 showed endosperm localization.myo-inositol-1-phosphate synthase 1 (MIPS1); CONTAINS InterPro DOMAIN/s: Myo-inositol-1-phosphate synthase (InterPro:IPR002587), Myo-inositol-1-phosphate synthase, GAPDH-like (InterPro:IPR013021), NAD(P)-binding domain (InterPro:IPR016040); BEST Arabidopsis thaliana protein match is: myo-inositol-1-phosphate synthase 2 (TAIR:AT2G22240.1); Has 1863 Blast hits to 1859 proteins in 511 species: Archae - 107; Bacteria - 438; Metazoa - 126; Fungi - 158; Plants - 764; Viruses - 0; Other Eukaryotes - 270 (source: NCBI BLink).",13.28,1.23,6.56414E-09,2.25036E-06,252863_at,0.836,#N/A
AT5G54510,"Encodes an IAA-amido synthase that conjugates Ala, Asp, Phe, and Trp to auxin. Lines overexpressing this gene accumulate IAA-ASP and are hypersensitive to several auxins.  Identified as a dominant mutation that displays shorter hypocotyls in light grown plants when compared to wild type siblings. Protein is similar to auxin inducible gene from pea (GH3).DWARF IN LIGHT 1 (DFL1); FUNCTIONS IN: indole-3-acetic acid amido synthetase activity; INVOLVED IN: auxin homeostasis, response to auxin stimulus, auxin mediated signaling pathway, unidimensional cell growth; LOCATED IN: chloroplast, cytoplasm; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: GH3 auxin-responsive promoter (InterPro:IPR004993); BEST Arabidopsis thaliana protein match is: Auxin-responsive GH3 family protein (TAIR:AT4G27260.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",13.71,1.21,2.3389E-08,7.20919E-06,248163_at,5.571,2.404
AT1G13245,ROTUNDIFOLIA like 17 (RTFL17); CONTAINS InterPro DOMAIN/s: DVL (InterPro:IPR012552); BEST Arabidopsis thaliana protein match is: ROTUNDIFOLIA like 15 (TAIR:AT1G68825.2); Has 124 Blast hits to 124 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 124; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,14.67,1.21,2.06403E-07,5.25343E-05,,#N/A,#N/A
AT5G59010,"BRASSINOSTEROID-SIGNALING KINASE 5,  BSK5. Protein kinase protein with tetratricopeptide repeat domain; FUNCTIONS IN: binding, protein kinase activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation, N-terminal protein myristoylation; LOCATED IN: plasma membrane; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 10 growth stages; CONTAINS InterPro DOMAIN/s: Tetratricopeptide-like helical (InterPro:IPR011990), Protein kinase, catalytic domain (InterPro:IPR000719), Serine-threonine/tyrosine-protein kinase (InterPro:IPR001245), Protein kinase-like domain (InterPro:IPR011009); BEST Arabidopsis thaliana protein match is: Protein kinase protein with tetratricopeptide repeat domain (TAIR:AT3G54030.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",15.02,1.19,7.0578E-07,0.000160217,247743_at,#N/A,4.081
AT5G01210,"HXXXD-type acyl-transferase family protein; FUNCTIONS IN: transferase activity, transferring acyl groups other than amino-acyl groups, transferase activity; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Transferase (InterPro:IPR003480); BEST Arabidopsis thaliana protein match is: HXXXD-type acyl-transferase family protein (TAIR:AT2G39980.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",14.48,1.18,2.6214E-07,6.5238E-05,251144_at,#N/A,2.866
AT3G30180,"Encodes a cytochrome p450 enzyme that catalyzes the last reaction in the production of brassinolide.  It is capable of converting 6-deoxocastasterone into castasterone, a C-6 oxidation, as well as the further conversion of castasterone into brassinolide by a Baeyer-Villinger oxidation reaction at C-6, resulting in the formation of an unusual seven-membered lactone ring.  The enzyme possesses high affinity for both C28- and C27-Brassinosteroids. The expression of the gene using a CYP85A2 promoter:LUC fusion construct was shown to be under circadian and light control.brassinosteroid-6-oxidase 2 (BR6OX2); FUNCTIONS IN: monooxygenase activity, oxygen binding; INVOLVED IN: response to light stimulus, circadian rhythm, brassinosteroid biosynthetic process; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome P450 (InterPro:IPR001128), Cytochrome P450, E-class, group I (InterPro:IPR002401), Cytochrome P450, conserved site (InterPro:IPR017972); BEST Arabidopsis thaliana protein match is: brassinosteroid-6-oxidase 1 (TAIR:AT5G38970.1); Has 29372 Blast hits to 29308 proteins in 1622 species: Archae - 48; Bacteria - 4489; Metazoa - 10449; Fungi - 5456; Plants - 7735; Viruses - 3; Other Eukaryotes - 1192 (source: NCBI BLink).",15.41,1.18,3.61565E-06,0.000698133,256598_at,#N/A,3.125
AT5G01215,"Potential natural antisense gene, locus overlaps with AT5G01210",14.48,1.17,3.00659E-07,7.37316E-05,,#N/A,#N/A
AT1G64640,"early nodulin-like protein 8 (ENODL8); FUNCTIONS IN: electron carrier activity, copper ion binding; LOCATED IN: anchored to membrane; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Plastocyanin-like (InterPro:IPR003245), Cupredoxin (InterPro:IPR008972); BEST Arabidopsis thaliana protein match is: early nodulin-like protein 3 (TAIR:AT4G28365.1); Has 1336 Blast hits to 1294 proteins in 65 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1335; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).",14.35,1.17,2.44174E-07,6.16805E-05,261975_at,#N/A,#N/A
AT1G14910,"ENTH/ANTH/VHS superfamily protein; FUNCTIONS IN: phospholipid binding, clathrin binding, binding, phosphatidylinositol binding; INVOLVED IN: N-terminal protein myristoylation, clathrin coat assembly; LOCATED IN: clathrin coat, mitochondrion; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Epsin-like, N-terminal (InterPro:IPR013809), ANTH (InterPro:IPR011417), ENTH/VHS (InterPro:IPR008942), Clathrin adaptor, phosphoinositide-binding, GAT-like (InterPro:IPR014712); BEST Arabidopsis thaliana protein match is: ENTH/ANTH/VHS superfamily protein (TAIR:AT2G01600.1); Has 1433 Blast hits to 1265 proteins in 231 species: Archae - 2; Bacteria - 84; Metazoa - 471; Fungi - 269; Plants - 492; Viruses - 2; Other Eukaryotes - 113 (source: NCBI BLink).",14.54,1.08,2.58767E-06,0.000523724,262856_at,#N/A,#N/A
AT1G14920,"Similar to a putative transcription factor and transcriptional coactivators. Repressor of GA responses and involved in gibberellic acid mediated signaling. Member of the DELLA proteins that restrain the cell proliferation and expansion that drives plant growth. The protein undergoes degradation in response to GA via the 26S proteasome. GAI may be involved in reducing ROS accumulation in response to stress by up-regulating the transcription of superoxide dismutases. Represses GA-induced vegetative growth and floral initiation. Rapidly degraded in response to GA.GIBBERELLIC ACID INSENSITIVE (GAI); CONTAINS InterPro DOMAIN/s: Transcriptional factor DELLA, N-terminal (InterPro:IPR021914), Transcription factor GRAS (InterPro:IPR005202); BEST Arabidopsis thaliana protein match is: GRAS family transcription factor family protein (TAIR:AT2G01570.1); Has 2718 Blast hits to 2657 proteins in 311 species: Archae - 0; Bacteria - 4; Metazoa - 0; Fungi - 0; Plants - 2714; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",13.24,1.02,1.3194E-06,0.000282344,262850_at,1.616,2.391
AT2G38120,"Encodes an auxin influx transporter.  AUX1 resides at the apical plasma membrane of protophloem cells and at highly dynamic subpopulations of Golgi apparatus and endosomes in all cell types.  AUX1 action in the lateral root cap and/or epidermal cells influences lateral root initiation and positioning.AUXIN RESISTANT 1 (AUX1); CONTAINS InterPro DOMAIN/s: Amino acid transporter, transmembrane (InterPro:IPR013057); BEST Arabidopsis thaliana protein match is: like AUXIN RESISTANT 1 (TAIR:AT5G01240.1); Has 1256 Blast hits to 1251 proteins in 143 species: Archae - 0; Bacteria - 0; Metazoa - 116; Fungi - 283; Plants - 825; Viruses - 0; Other Eukaryotes - 32 (source: NCBI BLink).",13.17,1.02,1.25586E-06,0.000273819,267092_at,1.598,#N/A
AT3G23050,"Transcription regulator acting as repressor of auxin-inducible gene expression. Plays role in the control of gravitropic growth and development in light-grown seedlings. Auxin induces the degradation of the protein in a dosage-dependent manner in a process mediated by AtRac1. Auxin induced the relocalization of the protein within the nucleus from a diffused nucleoplasmic pattern to a discrete particulated pattern named nuclear protein bodies or NPB in a process also mediated by Rac1. Colocalizes with SCF, CSN and 26S proteasome components.indole-3-acetic acid 7 (IAA7); CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525), AUX/IAA protein (InterPro:IPR003311); BEST Arabidopsis thaliana protein match is: indole-3-acetic acid inducible 14 (TAIR:AT4G14550.1); Has 1682 Blast hits to 1681 proteins in 74 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1681; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).",13.29,0.99,3.16087E-06,0.000632118,257769_at,#N/A,#N/A
AT1G75500,"An Arabidopsis thaliana homolog of Medicago truncatula NODULIN21 (MtN21). The gene encodes a plant-specific, predicted integral membrane protein and is a member of the Plant-Drug/Metabolite Exporter (P-DME) family (Transporter Classification number: TC 2.A.7.3).Walls Are Thin 1 (WAT1); INVOLVED IN: positive regulation of auxin metabolic process, positive regulation of tryptophan metabolic process, secondary cell wall biogenesis, unidimensional cell growth; LOCATED IN: plant-type vacuole membrane, plasma membrane, membrane; EXPRESSED IN: 28 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF6, transmembrane (InterPro:IPR000620); BEST Arabidopsis thaliana protein match is: nodulin MtN21 /EamA-like transporter family protein (TAIR:AT3G53210.1); Has 4164 Blast hits to 4147 proteins in 615 species: Archae - 25; Bacteria - 1869; Metazoa - 6; Fungi - 0; Plants - 1248; Viruses - 0; Other Eukaryotes - 1016 (source: NCBI BLink).",12.32,0.95,3.63759E-06,0.000698354,262951_at,#N/A,#N/A
AT4G22485,"Encodes a Protease inhibitor/seed storage/LTP family proteinBifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: lipid transport; LOCATED IN: cellular_component unknown; EXPRESSED IN: sperm cell; CONTAINS InterPro DOMAIN/s: Bifunctional inhibitor/plant lipid transfer protein/seed storage (InterPro:IPR016140), Plant lipid transfer protein/hydrophobic protein, helical domain (InterPro:IPR013770); BEST Arabidopsis thaliana protein match is: protease inhibitor/seed storage/lipid transfer protein (LTP) family protein (TAIR:AT4G22470.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",11.48,-0.95,2.37118E-06,0.000488739,,#N/A,#N/A
AT3G45140,"Chloroplast lipoxygenase required for wound-induced jasmonic acid accumulation in Arabidopsis.Mutants are resistant to Staphylococcus aureus and accumulate salicylic acid upon infection.lipoxygenase 2 (LOX2); FUNCTIONS IN: lipoxygenase activity; INVOLVED IN: in 7 processes; LOCATED IN: chloroplast thylakoid membrane, chloroplast stroma, chloroplast, chloroplast envelope; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Lipoxygenase, iron binding site (InterPro:IPR020833), Lipoxygenase, C-terminal (InterPro:IPR013819), Lipoxygenase, LH2 (InterPro:IPR001024), Lipase/lipooxygenase, PLAT/LH2 (InterPro:IPR008976), Lipoxygenase, conserved site (InterPro:IPR020834), Lipoxygenase (InterPro:IPR000907), Lipoxygenase, plant (InterPro:IPR001246); BEST Arabidopsis thaliana protein match is: PLAT/LH2 domain-containing lipoxygenase family protein (TAIR:AT1G67560.1); Has 1459 Blast hits to 1423 proteins in 177 species: Archae - 0; Bacteria - 74; Metazoa - 524; Fungi - 48; Plants - 784; Viruses - 0; Other Eukaryotes - 29 (source: NCBI BLink).",12.16,-0.99,1.26327E-06,0.000273819,252618_at,#N/A,#N/A
AT2G36120,"Encodes a glycine rich protein that is involved in leaf vascular patterning. dot1 mutants have an aberrant open-class venation pattern in leaves and cotyledons, as well as several other leaf development defects.DEFECTIVELY ORGANIZED TRIBUTARIES 1 (DOT1); INVOLVED IN: cotyledon vascular tissue pattern formation, phloem or xylem histogenesis, leaf vascular tissue pattern formation, leaf development; LOCATED IN: endomembrane system; EXPRESSED IN: 9 plant structures; EXPRESSED DURING: LP.06 six leaves visible, LP.04 four leaves visible, LP.10 ten leaves visible, petal differentiation and expansion stage; Has 433761 Blast hits to 69211 proteins in 2973 species: Archae - 1140; Bacteria - 107056; Metazoa - 166195; Fungi - 29774; Plants - 43479; Viruses - 5777; Other Eukaryotes - 80340 (source: NCBI BLink).",15.04,-1.11,3.25568E-06,0.000642085,263285_at,#N/A,#N/A
AT1G77760,"Encodes the cytosolic minor isoform of nitrate reductase (NR). Involved in the first step of nitrate assimilation, it contributes about 15% of the nitrate reductase activity in shoots. Similar to molybdopterin oxidoreductases at the N-terminus, and to FAD/NAD-binding cytochrome reductases at the C-terminus. Cofactors: FAD, heme iron (cytochrome B-557), and molybdenum-pterin.nitrate reductase 1 (NIA1); FUNCTIONS IN: nitrate reductase activity, protein binding; INVOLVED IN: nitric oxide biosynthetic process, nitrate assimilation, response to light stimulus; LOCATED IN: cytosol; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome b5, heme-binding site (InterPro:IPR018506), Nitrate reductase NADH dependent (InterPro:IPR012137), Ferredoxin reductase-type FAD-binding domain (InterPro:IPR017927), Oxidoreductase, FAD-binding domain (InterPro:IPR008333), Immunoglobulin E-set (InterPro:IPR014756), Cytochrome b5 (InterPro:IPR001199), NADH:cytochrome b5 reductase (CBR) (InterPro:IPR001834), Oxidoreductase, molybdopterin-binding domain (InterPro:IPR000572), Oxidoreductase FAD/NAD(P)-binding (InterPro:IPR001433), Oxidoreductase, molybdopterin binding site (InterPro:IPR022407), Riboflavin synthase-like beta-barrel (InterPro:IPR017938), Eukaryotic molybdopterin oxidoreductase (InterPro:IPR008335), Flavoprotein pyridine nucleotide cytochrome reductase (InterPro:IPR001709), Moybdenum cofactor oxidoreductase, dimerisation (InterPro:IPR005066); BEST Arabidopsis thaliana protein match is: nitrate reductase 2 (TAIR:AT1G37130.1); Has 14813 Blast hits to 14437 proteins in 2198 species: Archae - 168; Bacteria - 6976; Metazoa - 1728; Fungi - 2215; Plants - 1479; Viruses - 3; Other Eukaryotes - 2244 (source: NCBI BLink).",14.86,-1.14,1.58234E-06,0.000331688,259681_at,#N/A,#N/A
AT3G30775,"Encodes a proline oxidase that is predicted to localize to the inner mitochondrial membrane, its mRNA expression induced by high levels of Al and by osmotic stress.  The promoter contains an L-proline-inducible element.EARLY RESPONSIVE TO DEHYDRATION 5 (ERD5); CONTAINS InterPro DOMAIN/s: Proline dehydrogenase (InterPro:IPR002872), Proline oxidase (InterPro:IPR015659); BEST Arabidopsis thaliana protein match is: Methylenetetrahydrofolate reductase family protein (TAIR:AT5G38710.1); Has 2269 Blast hits to 2250 proteins in 878 species: Archae - 1; Bacteria - 1355; Metazoa - 205; Fungi - 217; Plants - 85; Viruses - 2; Other Eukaryotes - 404 (source: NCBI BLink).",15.00,-1.22,2.57658E-07,6.46011E-05,257315_at,#N/A,#N/A
AT1G07135,glycine-rich protein; Has 22251 Blast hits to 8348 proteins in 789 species: Archae - 21; Bacteria - 7328; Metazoa - 6126; Fungi - 1280; Plants - 3980; Viruses - 524; Other Eukaryotes - 2992 (source: NCBI BLink).,15.41,-1.25,3.90584E-07,9.44062E-05,,#N/A,#N/A
AT4G08870,"Encodes one of the two arginase in the genome. Gene expression is enhanced by methyl jasmonate treatment.Arginase/deacetylase superfamily protein; FUNCTIONS IN: arginase activity, cobalt ion binding, agmatinase activity; INVOLVED IN: response to jasmonic acid stimulus, polyamine metabolic process; LOCATED IN: mitochondrion, chloroplast; EXPRESSED IN: sepal vascular system, cotyledon vascular system, root vascular system, style, leaf; EXPRESSED DURING: seedling growth; CONTAINS InterPro DOMAIN/s: Ureohydrolase (InterPro:IPR006035); BEST Arabidopsis thaliana protein match is: arginase (TAIR:AT4G08900.1); Has 8845 Blast hits to 8843 proteins in 1673 species: Archae - 297; Bacteria - 4692; Metazoa - 410; Fungi - 370; Plants - 72; Viruses - 0; Other Eukaryotes - 3004 (source: NCBI BLink).",14.22,-1.26,2.03946E-08,6.34442E-06,,#N/A,#N/A
AT4G37409,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,15.48,-1.31,5.4687E-07,0.000126712,,#N/A,#N/A
AT4G37410,"member of CYP81Fcytochrome P450, family 81, subfamily F, polypeptide 4 (CYP81F4); FUNCTIONS IN: electron carrier activity, monooxygenase activity, iron ion binding, oxygen binding, heme binding; INVOLVED IN: oxidation reduction; LOCATED IN: endoplasmic reticulum; EXPRESSED IN: 12 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome P450 (InterPro:IPR001128), Cytochrome P450, conserved site (InterPro:IPR017972), Cytochrome P450, E-class, group I (InterPro:IPR002401); BEST Arabidopsis thaliana protein match is: cytochrome P450, family 81, subfamily F, polypeptide 3 (TAIR:AT4G37400.1); Has 35936 Blast hits to 35767 proteins in 1827 species: Archae - 66; Bacteria - 5738; Metazoa - 11729; Fungi - 7404; Plants - 9478; Viruses - 6; Other Eukaryotes - 1515 (source: NCBI BLink).",15.48,-1.31,5.4687E-07,0.000126712,253073_at,#N/A,#N/A
AT4G29700,"Alkaline-phosphatase-like family protein; FUNCTIONS IN: hydrolase activity, catalytic activity; INVOLVED IN: metabolic process, nucleotide metabolic process; LOCATED IN: vacuole; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: Alkaline phosphatase-like, alpha/beta/alpha (InterPro:IPR017849), Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase (InterPro:IPR002591), Alkaline-phosphatase-like, core domain (InterPro:IPR017850); BEST Arabidopsis thaliana protein match is: Alkaline-phosphatase-like family protein (TAIR:AT4G29690.1); Has 2237 Blast hits to 2218 proteins in 571 species: Archae - 24; Bacteria - 916; Metazoa - 704; Fungi - 177; Plants - 108; Viruses - 6; Other Eukaryotes - 302 (source: NCBI BLink).",16.06,-1.48,9.11922E-08,2.5113E-05,253697_at,#N/A,#N/A
AT3G22740,homocysteine S-methyltransferase (HMT3)homocysteine S-methyltransferase 3 (HMT3); FUNCTIONS IN: homocysteine S-methyltransferase activity; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 16 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS InterPro DOMAIN/s: Homocysteine S-methyltransferase (InterPro:IPR003726); BEST Arabidopsis thaliana protein match is: homocysteine methyltransferase 2 (TAIR:AT3G63250.1); Has 6696 Blast hits to 6688 proteins in 1870 species: Archae - 4; Bacteria - 4184; Metazoa - 339; Fungi - 135; Plants - 163; Viruses - 0; Other Eukaryotes - 1871 (source: NCBI BLink).,16.07,-1.52,7.73383E-08,2.14738E-05,258322_at,#N/A,#N/A
AT5G42800,"dihydroflavonol reductase. Catalyzes the conversion of dihydroquercetin to leucocyanidin in the biosynthesis of anthocyanins.dihydroflavonol 4-reductase (DFR); CONTAINS InterPro DOMAIN/s: NAD-dependent epimerase/dehydratase (InterPro:IPR001509), NAD(P)-binding domain (InterPro:IPR016040); BEST Arabidopsis thaliana protein match is: NAD(P)-binding Rossmann-fold superfamily protein (TAIR:AT2G45400.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",16.48,-1.52,7.64355E-07,0.000172349,249215_at,#N/A,#N/A
AT4G22880,"encodes leucoanthocyanidin dioxygenase, which is involved in proanthocyanin biosynthesis. Mutant analysis suggests that this gene is also involved in vacuole formation.leucoanthocyanidin dioxygenase (LDOX); CONTAINS InterPro DOMAIN/s: Oxoglutarate/iron-dependent oxygenase (InterPro:IPR005123); BEST Arabidopsis thaliana protein match is: flavonol synthase 1 (TAIR:AT5G08640.2); Has 8356 Blast hits to 8311 proteins in 977 species: Archae - 0; Bacteria - 1058; Metazoa - 85; Fungi - 889; Plants - 4934; Viruses - 0; Other Eukaryotes - 1390 (source: NCBI BLink).",16.45,-1.68,2.41783E-08,7.32792E-06,,#N/A,#N/A
AT1G70700,"JAZ9 is a protein presumed to be involved in jasmonate signaling. JAZ9 transcript levels rise in response to a jasmonate stimulus. JAZ9 can interact with the COI1 F-box subunit of an SCF E3 ubiquitin ligase in a yeast-two-hybrid assay only in the presence of jasmonate-isoleucine (JA-ILE) or coronatine. The Jas domain appears to be important for JAZ9-COI1 interactions in the presence of coronatine. Two positive residues (R205 and R206) in the Jas domain shown to be important for coronatine -dependent COI1 binding are not required for binding AtMYC2.TIFY7; CONTAINS InterPro DOMAIN/s: Tify (InterPro:IPR010399), CCT domain-like (InterPro:IPR018467); BEST Arabidopsis thaliana protein match is: jasmonate-zim-domain protein 4 (TAIR:AT1G48500.1); Has 360 Blast hits to 360 proteins in 27 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 360; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",14.79,-1.70,1.368E-12,8.83559E-10,260205_at,#N/A,#N/A
AT5G25620,"YUCCA6 (YUC6); FUNCTIONS IN: NADP or NADPH binding, oxidoreductase activity, monooxygenase activity, FAD binding, flavin-containing monooxygenase activity; INVOLVED IN: auxin biosynthetic process; EXPRESSED IN: sepal; EXPRESSED DURING: petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Pyridine nucleotide-disulphide oxidoreductase, class-II (InterPro:IPR000103), FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027), Flavin-containing monooxygenase-like (InterPro:IPR020946); BEST Arabidopsis thaliana protein match is: Flavin-binding monooxygenase family protein (TAIR:AT4G13260.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",17.49,-1.76,4.19359E-06,0.000800522,246900_at,#N/A,#N/A
AT1G14250,"GDA1/CD39 nucleoside phosphatase family protein; FUNCTIONS IN: hydrolase activity; INVOLVED IN: biological_process unknown; LOCATED IN: vacuole; EXPRESSED IN: male gametophyte, cultured cell, pollen tube; EXPRESSED DURING: L mature pollen stage, M germinated pollen stage; CONTAINS InterPro DOMAIN/s: Nucleoside phosphatase GDA1/CD39 (InterPro:IPR000407); BEST Arabidopsis thaliana protein match is: GDA1/CD39 nucleoside phosphatase family protein (TAIR:AT1G14240.4); Has 1463 Blast hits to 1456 proteins in 234 species: Archae - 0; Bacteria - 39; Metazoa - 610; Fungi - 315; Plants - 332; Viruses - 0; Other Eukaryotes - 167 (source: NCBI BLink).",14.11,-1.77,3E-15,2.281E-12,,#N/A,#N/A
AT2G05440,GLYCINE RICH PROTEIN 9 (GRP9); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; CONTAINS InterPro DOMAIN/s: Glycine rich protein (InterPro:IPR010800); BEST Arabidopsis thaliana protein match is: Glycine-rich protein family (TAIR:AT2G05510.1); Has 109633 Blast hits to 26829 proteins in 1834 species: Archae - 115; Bacteria - 41993; Metazoa - 34143; Fungi - 5967; Plants - 10276; Viruses - 1307; Other Eukaryotes - 15832 (source: NCBI BLink).,17.58,-1.79,5.38131E-06,0.000987955,,#N/A,#N/A
AT5G14760,"At5g14760 encodes for L-aspartate oxidase involved in the early steps of NAD biosynthesis. In contrary to the EC 1.4.3.16 (l-aspartate oxidase - deaminating) the enzyme catalyzes the reaction  L-aspartate + O2 = iminoaspartate (alpha-iminosuccinate) + H2O2L-aspartate oxidase (AO); FUNCTIONS IN: electron carrier activity, oxidoreductase activity, L-aspartate oxidase activity; INVOLVED IN: NAD biosynthetic process; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal (InterPro:IPR015939), Fumarate reductase/succinate dehydrogenase flavoprotein, N-terminal (InterPro:IPR003953), Fumarate reductase/succinate dehydrogenase flavoprotein, C-terminal (InterPro:IPR004112), L-aspartate oxidase (InterPro:IPR005288); BEST Arabidopsis thaliana protein match is: succinate dehydrogenase 1-1 (TAIR:AT5G66760.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",17.70,-1.85,2.55833E-06,0.000520923,246597_at,#N/A,#N/A
AT2G47180,"galactinol synthase 1 (GolS1); FUNCTIONS IN: transferase activity, transferring hexosyl groups, transferase activity, transferring glycosyl groups; INVOLVED IN: response to high light intensity, carbohydrate biosynthetic process, response to hydrogen peroxide, response to heat; LOCATED IN: cellular_component unknown; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 11 growth stages; CONTAINS InterPro DOMAIN/s: Glycosyl transferase, family 8 (InterPro:IPR002495); BEST Arabidopsis thaliana protein match is: galactinol synthase 2 (TAIR:AT1G56600.1); Has 1198 Blast hits to 1197 proteins in 285 species: Archae - 0; Bacteria - 104; Metazoa - 258; Fungi - 278; Plants - 420; Viruses - 71; Other Eukaryotes - 67 (source: NCBI BLink).",17.31,-2.01,2.44286E-08,7.32792E-06,263320_at,#N/A,#N/A
